# serial direct N-body DKD baseline
# arithmetic_dtype=double binary_storage=float32 format=nbody-f32-v1
# N=10000 nsteps=100 dt=0.0001 eps=0.050000000000000003 G=1 mass=1
# step time kinetic potential total rel_energy_drift
0 0 29710911.787550669 -59604283.596900024 -29893371.809349354 0
10 0.001 29738507.59679072 -59631900.285031065 -29893392.688240346 6.9844549903470319e-07
20 0.002 29833519.316559535 -59726923.219655491 -29893403.903095957 1.0736074474040332e-06
30 0.0030000000000000001 30022230.495115921 -59915647.787148394 -29893417.292032473 1.5214972539232842e-06
40 0.0040000000000000001 30322082.579898089 -60215513.607947871 -29893431.028049782 1.9809976875556392e-06
50 0.0050000000000000001 30742117.557639156 -60635568.463832878 -29893450.906193722 2.6459659643662163e-06
60 0.0060000000000000001 31292379.015243422 -61185844.784641951 -29893465.769398529 3.1431733353458429e-06
70 0.0070000000000000001 31969892.957829773 -61863376.815135501 -29893483.857305728 3.7482541978920823e-06
80 0.0080000000000000002 32762776.418366205 -62656287.286617532 -29893510.868251327 4.6518306084687677e-06
90 0.0090000000000000011 33656617.460237034 -63550158.760254323 -29893541.30001729 5.6698410944211868e-06
100 0.01 34633333.560883969 -64526901.469425417 -29893567.908541448 6.5599556097156777e-06
# final: N=10000 steps=100 arithmetic_dtype=double max_relative_energy_drift=6.5599556097156777e-06 tolerance=0.001 status=OK
