# serial direct N-body DKD baseline
# arithmetic_dtype=double binary_storage=float32 format=nbody-f32-v1
# N=10000 nsteps=100 dt=0.0001 eps=0.050000000000000003 G=1 mass=1
# step time kinetic potential total rel_energy_drift
0 0 14781846.088864656 -28882051.247247882 -14100205.158383226 0
10 0.001 14765683.803015701 -28865890.083901558 -14100206.280885857 7.9608957314292089e-08
20 0.002 14748119.797407255 -28848325.772636395 -14100205.97522914 5.7931491433889324e-08
30 0.0030000000000000001 14730903.742496632 -28831109.337254774 -14100205.594758142 3.0948125283431826e-08
40 0.0040000000000000001 14713979.275514344 -28814185.573560845 -14100206.298046501 8.0826006609817023e-08
50 0.0050000000000000001 14696242.758805681 -28796447.905223496 -14100205.146417815 8.4859834658312879e-10
60 0.0060000000000000001 14677350.83716107 -28777555.276611488 -14100204.439450419 5.0987400493111778e-08
70 0.0070000000000000001 14657968.641365709 -28758173.904214513 -14100205.262848804 7.4087984237086406e-09
80 0.0080000000000000002 14638626.558181519 -28738831.388407636 -14100204.830226118 2.3273215147651794e-08
90 0.0090000000000000011 14618623.439330146 -28718827.766493771 -14100204.327163626 5.895088696772464e-08
100 0.01 14596078.114091082 -28696282.468768451 -14100204.35467737 5.6999585975966633e-08
# final: N=10000 steps=100 arithmetic_dtype=double max_relative_energy_drift=8.0826006609817023e-08 tolerance=0.001 status=OK
